WIP (name),Latest WIP view,Link to proofread cell with annotation,"State (0=Red, 1=Yellow, 2=Green, 3=Proofread)",Cell number,experimenter,date,exp_num,raw_id,field,region,nucleus ID pcg,nucleus loc pcg,cell ID pcg,ID warning/error,,New IDs (last update: 202503260847),roi_id,roi_n_pixels,roi_size_um2,super (baden),group (baden),cluster (baden),cell type,RGC or AC,EyeWire 1 type (for RGCs),most recent cell ID,field_ventral_dorsal_pos_um,field_temporal_nasal_pos_um,ventral_dorsal_pos_um,temporal_nasal_pos_um
,,,2,0,Franke,2018-10-11,2,1,GCL0,RR,720575940577751704,"32653.0,23923.0,553.0",720575940573597592,,"32653.0,23923.0,583.0",720575940562051654,1,18,38.8951,On Off,12,17,OODS,RGC,"37r,v,c",,-361.4,-841.8,-316.974,-880.755
,,,2,1,Franke,2018-10-11,2,1,GCL0,RR,720575940534317101,"33159.0,22959.0,606.0",720575940572538008,,"33159.0,22959.0,661.0",720575940559683612,2,32,69.1469,On Off,34,51,OODS - V - HB9,RGC,37d,,-361.4,-841.8,-317.209,-864.952
,,,2,2,Franke,2018-10-11,2,1,GCL0,RR,720575940554891618,"33787.0,21853.0,597.0",720575940551284060,,"33787.0,21853.0,677.0",720575940579479153,3,24,51.8602,dAC,42,70,SAC,AC,,,-361.4,-841.8,-316.994,-844.25
,,,0,3,Franke,2018-10-11,2,1,GCL0,RR,720575940554657378,"34131.0,21306.0,627.0",720575940577801624,,"34131.0,21306.0,657.0",720575940563206785,4,28,60.5036,dAC,41,64,A1,AC,,,-361.4,-841.8,-317.721,-834.083
,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6585570827436032,3,4,Franke,2018-10-11,2,1,GCL0,RR,720575940571117757,"34753.0,20187.0,669.0",720575940556059228,,"34753.0,20187.0,684.0",720575940547755651,5,40,86.4336,dAC,28,38,ON delayed,RGC,73,,-361.4,-841.8,-317.117,-814.936
,,,2,5,Franke,2018-10-11,2,1,GCL0,RR,720575940562610790,"33757.0,22478.0,558.0",720575940556187228,,"33757.0,22478.0,608.0",720575940556187228,6,24,51.8602,Slow On,27,37,,RGC,2aw?,,-361.4,-841.8,-318.648,-853.437
,,,2,6,Franke,2018-10-11,2,1,GCL0,RR,720575940562643558,"34769.0,21233.0,628.0",720575940553874269,,"34769.0,21233.0,678.0",720575940553874269,7,38,82.112,On Off,14,20,OFF,RGC,2i or 1ni?,,-361.4,-841.8,-322.097,-825.901
,,,2,7,Franke,2018-10-11,2,1,GCL0,RR,720575940555227789,"35359.0,20040.0,704.0",720575940562140313,,"35359.0,20040.0,739.0",720575940562140313,8,27,58.3427,Fast On,16,22,ON DS sus?,RGC,"7iv,r,d",,-361.4,-841.8,-322.364,-804.724
,,,2,8,Franke,2018-10-11,",,,",1,GCL0,RR,720575940552583180,"35922.0,19429.0,736.0",720575940558841948,"Same cell, Ca field overlap! (01)","35922.0,19429.0,811.0",720575940558841948,9,21,45.3777,Fast On,18,27,ON tr. MeRF,RGC,6sw,,-361.4,-841.8,-323.671,-797.561
,,,2,9,Franke,2018-10-11,2,1,GCL0,RR,720575940562919113,"33441.0,23770.0,537.0",720575940579273368,Same cell? (01),"33441.0,23770.0,572.0",720575940550365861,10,50,108.042,Uncertain,33,50,,RGC,3o?,,-361.4,-841.8,-326.65,-872.199
,,,2,10,Franke,2018-10-11,2,1,GCL0,RR,720575940554018442,"34155.0,21713.0,539.0",720575940552133724,,"34155.0,21713.0,614.0",720575940573472304,11,9,19.4476,dAC,42,65,,AC,,,-361.4,-841.8,-322.364,-838.697
,,,2,11,Franke,2018-10-11,2,1,GCL0,RR,720575940562919113,"33441.0,23770.0,537.0",720575940579273368,Same cell? (01),"33352.0,23818.0,628.0",720575940550365861,12,38,82.112,Uncertain,33,50,,RGC,3i or 2i?,,-361.4,-841.8,-329.95,-863.579
